   1.0000000e-01   2.0946997e+00
   3.0000000e-01   3.0274329e+00
   5.0000000e-01   3.4502748e+00
   7.0000000e-01   3.5335345e+00
   9.0000000e-01   3.6693161e+00
   1.1000000e+00   3.7662926e+00
   1.3000000e+00   3.6459271e+00
   1.5000000e+00   3.6503167e+00
   1.7000000e+00   3.8598426e+00
   1.9000000e+00   3.7811175e+00
   2.1000000e+00   3.8749559e+00
   2.3000000e+00   3.9425204e+00
   2.5000000e+00   3.7952870e+00
   2.7000000e+00   3.8101929e+00
   2.9000000e+00   3.8790908e+00
   3.1000000e+00   3.8881454e+00
   3.3000000e+00   3.9174531e+00
   3.5000000e+00   3.9130512e+00
   3.7000000e+00   3.8100305e+00
   3.9000000e+00   3.8794771e+00
   4.1000000e+00   3.8720258e+00
   4.3000000e+00   3.8041571e+00
   4.5000000e+00   3.8471204e+00
   4.7000000e+00   4.0402516e+00
   4.9000000e+00   4.0223260e+00
