data_structure,mean,median,stdev,count
BWT-HMM,313.96190476190475,317.2,5.545852160892515,21
BWT-HMM-Merging,313.252380952381,316.7,5.5511817703637725,21
Kmer Index,314.195,316.9,5.252315278948289,20
MLSE-Viterbi,313.96666666666664,317.1,5.531214453746419,21
