data_structure,sample,memory_usage
BWT-HMM-Merging,hypothetical_protein_test,317.0
BWT-HMM-Merging,compressed_hypothetical_protein_test,317.3
Kmer Index,hypothetical_protein_test,317.5
Kmer Index,compressed_hypothetical_protein_test,316.6
BWT-HMM,hypothetical_protein_test,305.7
BWT-HMM,compressed_hypothetical_protein_test,307.6
MLSE-Viterbi,hypothetical_protein_test,316.7
MLSE-Viterbi,compressed_hypothetical_protein_test,317.1
BWT-HMM-Merging,hypothetical_protein_test,318.0
BWT-HMM-Merging,compressed_hypothetical_protein_test,316.4
Kmer Index,hypothetical_protein_test,305.3
Kmer Index,compressed_hypothetical_protein_test,307.4
BWT-HMM,hypothetical_protein_test,317.2
BWT-HMM,compressed_hypothetical_protein_test,317.4
MLSE-Viterbi,hypothetical_protein_test,317.4
MLSE-Viterbi,compressed_hypothetical_protein_test,316.5
BWT-HMM-Merging,hypothetical_protein_test,305.4
BWT-HMM-Merging,compressed_hypothetical_protein_test,307.6
Kmer Index,hypothetical_protein_test,317.0
Kmer Index,compressed_hypothetical_protein_test,317.4
BWT-HMM,hypothetical_protein_test,317.5
BWT-HMM,compressed_hypothetical_protein_test,316.3
MLSE-Viterbi,hypothetical_protein_test,305.4
MLSE-Viterbi,compressed_hypothetical_protein_test,307.5
BWT-HMM-Merging,hypothetical_protein_test,317.0
BWT-HMM-Merging,compressed_hypothetical_protein_test,317.4
Kmer Index,hypothetical_protein_test,317.7
Kmer Index,compressed_hypothetical_protein_test,316.5
BWT-HMM,hypothetical_protein_test,305.5
BWT-HMM,compressed_hypothetical_protein_test,307.5
MLSE-Viterbi,hypothetical_protein_test,317.6
MLSE-Viterbi,compressed_hypothetical_protein_test,306.0
BWT-HMM-Merging,hypothetical_protein_test,317.1
BWT-HMM-Merging,compressed_hypothetical_protein_test,316.7
Kmer Index,hypothetical_protein_test,316.0
Kmer Index,compressed_hypothetical_protein_test,306.3
BWT-HMM,hypothetical_protein_test,317.0
BWT-HMM,compressed_hypothetical_protein_test,317.5
MLSE-Viterbi,hypothetical_protein_test,317.7
MLSE-Viterbi,compressed_hypothetical_protein_test,316.6
BWT-HMM-Merging,hypothetical_protein_test,305.4
BWT-HMM-Merging,compressed_hypothetical_protein_test,307.4
Kmer Index,hypothetical_protein_test,317.4
Kmer Index,compressed_hypothetical_protein_test,317.7
BWT-HMM,hypothetical_protein_test,317.7
BWT-HMM,compressed_hypothetical_protein_test,317.9
MLSE-Viterbi,hypothetical_protein_test,317.1
MLSE-Viterbi,compressed_hypothetical_protein_test,316.4
BWT-HMM-Merging,hypothetical_protein_test,316.4
BWT-HMM-Merging,compressed_hypothetical_protein_test,316.4
